ComponentTypeId,ComponentFamily,ComponentSubtype,ModelType,IsAivAssessmentCandidate,AivAssessmentType,RequiresBranchGeometry,MainSizeRequired,BranchSizeRequired,Description,SourceDocumentId,Revision,Status
CMP-WELDOLET,BRANCH,WELDOLET,WELDOLET,YES,WELDOLET,YES,YES,YES,Integrally reinforced weldolet branch fitting,DOC-AIV-MAP,1,ACTIVE
CMP-SWEEPOLET,BRANCH,SWEEPOLET,SWEEPOLET,YES,WELDOLET,YES,YES,YES,Contoured sweepolet branch fitting,DOC-AIV-MAP,1,ACTIVE
CMP-THREADOLET,BRANCH,THREADOLET,THREADOLET,YES,OTHER_WELDED_DISCONTINUITY,YES,YES,YES,Threaded branch outlet fitting,DOC-AIV-MAP,1,ACTIVE
CMP-SOCKOLET,BRANCH,SOCKOLET,SOCKOLET,YES,OTHER_WELDED_DISCONTINUITY,YES,YES,YES,Socket weld branch outlet fitting,DOC-AIV-MAP,1,ACTIVE
CMP-BW-TEE,TEE,BUTT_WELD_TEE,TEE,YES,WELDED_TEE,YES,YES,YES,Butt-welded equal or reducing tee,DOC-AIV-MAP,1,ACTIVE
CMP-FORGED-TEE,TEE,FORGED_TEE,TEE,YES,WELDED_TEE,YES,YES,YES,Forged full-penetration welded tee,DOC-AIV-MAP,1,ACTIVE
CMP-FAB-TEE,TEE,FABRICATED_TEE,TEE,YES,WELDED_TEE,YES,YES,YES,Fabricated welded stub-in tee,DOC-AIV-MAP,1,ACTIVE
CMP-EXTRUDED-TEE,TEE,EXTRUDED_OUTLET,TEE,YES,WELDED_TEE,YES,YES,YES,Extruded outlet header branch,DOC-AIV-MAP,1,ACTIVE
CMP-WELDED-SUPPORT,SUPPORT,WELDED_ATTACHMENT,SUPPORT,YES,WELDED_SUPPORT,NO,YES,NO,"Directly welded pipe support attachment (shoe, clip)",DOC-AIV-MAP,1,ACTIVE
CMP-TRUNNION,SUPPORT,TRUNNION_SUPPORT,SUPPORT,YES,WELDED_SUPPORT,YES,YES,YES,Welded dummy leg / pipe trunnion support,DOC-AIV-MAP,1,ACTIVE
CMP-LIFTING-LUG,ATTACHMENT,WELDED_LUG,ATTACHMENT,YES,WELDED_SUPPORT,NO,YES,NO,Welded lifting lug on process pipe,DOC-AIV-MAP,1,ACTIVE
CMP-PIPE-REINFORCE-PAD,BRANCH,REINFORCING_PAD,BRANCH,YES,OTHER_WELDED_DISCONTINUITY,YES,YES,YES,Welded reinforcing pad at branch connection,DOC-AIV-MAP,1,ACTIVE
CMP-GUSSET-PLATE,SUPPORT,WELDED_GUSSET,SUPPORT,YES,WELDED_SUPPORT,NO,YES,NO,Welded stiffening gusset plate,DOC-AIV-MAP,1,ACTIVE
CMP-MITRE-BEND,BEND,MITRE_ELBOW,ELBOW,YES,OTHER_WELDED_DISCONTINUITY,NO,YES,NO,Fabricated mitred elbow/bend,DOC-AIV-MAP,1,ACTIVE
CMP-ELBOW,ELBOW,BW_ELBOW,ELBOW,NO,NONE,NO,YES,NO,Seamless or long-seam butt-weld pipe elbow,DOC-AIV-MAP,1,ACTIVE
CMP-REDUCER-CONC,REDUCER,CONCENTRIC_REDUCER,REDUCER,NO,NONE,NO,YES,YES,Concentric pipe reducer,DOC-AIV-MAP,1,ACTIVE
CMP-REDUCER-ECC,REDUCER,ECCENTRIC_REDUCER,REDUCER,NO,NONE,NO,YES,YES,Eccentric pipe reducer,DOC-AIV-MAP,1,ACTIVE
CMP-FLANGE-WN,FLANGE,WELD_NECK_FLANGE,FLANGE,NO,NONE,NO,YES,NO,Weld neck pipe flange,DOC-AIV-MAP,1,ACTIVE
CMP-FLANGE-BLIND,FLANGE,BLIND_FLANGE,FLANGE,NO,NONE,NO,YES,NO,Bolted blind flange,DOC-AIV-MAP,1,ACTIVE
CMP-PIPE,PIPE,STRAIGHT_PIPE,PIPE,NO,NONE,NO,YES,NO,Straight pipe spool,DOC-AIV-MAP,1,ACTIVE
