PipeDimensionId,Standard,StandardEdition,NPS,DN,OutsideDiameter,OutsideDiameterUnit,Schedule,WallThickness,WallThicknessUnit,InsideDiameter,InsideDiameterUnit,SourceDocumentId,SourceRecord,Status
DIM-ASMEB36-NPS1_2-SCH10S,ASME B36.19M,2022,1/2,15,21.3,mm,10S,2.11,mm,17.08,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_2-SCH40,ASME B36.10M,2022,1/2,15,21.3,mm,40,2.77,mm,15.76,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_2-SCHSTD,ASME B36.10M,2022,1/2,15,21.3,mm,STD,2.77,mm,15.76,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_2-SCH80,ASME B36.10M,2022,1/2,15,21.3,mm,80,3.73,mm,13.84,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_2-SCHXS,ASME B36.19M,2022,1/2,15,21.3,mm,XS,3.73,mm,13.84,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_2-SCH160,ASME B36.10M,2022,1/2,15,21.3,mm,160,4.78,mm,11.74,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1_2-SCHXXS,ASME B36.19M,2022,1/2,15,21.3,mm,XXS,7.47,mm,6.36,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3_4-SCH10S,ASME B36.19M,2022,3/4,20,26.7,mm,10S,2.11,mm,22.48,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3_4-SCH40,ASME B36.10M,2022,3/4,20,26.7,mm,40,2.87,mm,20.96,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3_4-SCHSTD,ASME B36.10M,2022,3/4,20,26.7,mm,STD,2.87,mm,20.96,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3_4-SCH80,ASME B36.10M,2022,3/4,20,26.7,mm,80,3.91,mm,18.88,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3_4-SCHXS,ASME B36.19M,2022,3/4,20,26.7,mm,XS,3.91,mm,18.88,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3_4-SCH160,ASME B36.10M,2022,3/4,20,26.7,mm,160,5.56,mm,15.58,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS3_4-SCHXXS,ASME B36.19M,2022,3/4,20,26.7,mm,XXS,7.82,mm,11.06,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1-SCH10S,ASME B36.19M,2022,1,25,33.4,mm,10S,2.77,mm,27.86,mm,DOC-ASME-B3619,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1-SCH40,ASME B36.10M,2022,1,25,33.4,mm,40,3.38,mm,26.64,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1-SCHSTD,ASME B36.10M,2022,1,25,33.4,mm,STD,3.38,mm,26.64,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
DIM-ASMEB36-NPS1-SCH80,ASME B36.10M,2022,1,25,33.4,mm,80,4.55,mm,24.3,mm,DOC-ASME-B3610,TABLE-1,ACTIVE
