PipingClassRecordId,PipingClassId,ComponentFamily,NPS,DN,Schedule,NominalWallThickness,WallThicknessUnit,MaterialId,PressureClass,BranchType,BranchNPS,BranchDN,BranchSchedule,BranchWallThickness,Standard,SourceDocumentId,SourceRecord,Revision,Status
PC-A1-PIPE-0.5,A1,PIPE,1/2,15,80,3.73,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-0.5,4,ACTIVE
PC-A1-PIPE-1,A1,PIPE,1,25,80,4.55,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-1,4,ACTIVE
PC-A1-PIPE-2,A1,PIPE,2,50,80,5.54,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-2,4,ACTIVE
PC-A1-PIPE-4,A1,PIPE,4,100,40,6.02,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-4,4,ACTIVE
PC-A1-PIPE-6,A1,PIPE,6,150,40,7.11,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-6,4,ACTIVE
PC-A1-PIPE-8,A1,PIPE,8,200,40,8.18,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-8,4,ACTIVE
PC-A1-PIPE-10,A1,PIPE,10,250,40,9.27,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-10,4,ACTIVE
PC-A1-PIPE-12,A1,PIPE,12,300,STD,9.53,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-12,4,ACTIVE
PC-A1-PIPE-14,A1,PIPE,14,350,STD,9.53,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-14,4,ACTIVE
PC-A1-PIPE-16,A1,PIPE,16,400,STD,9.53,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-16,4,ACTIVE
PC-A1-PIPE-20,A1,PIPE,20,500,STD,9.53,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-20,4,ACTIVE
PC-A1-PIPE-24,A1,PIPE,24,600,STD,9.53,mm,MAT-A106-B,300,,,,,,ASME B36.10M,DOC-PMS-A1,PIPE-24,4,ACTIVE
PC-A1-WELDOLET-2X6,A1,WELDOLET,6,150,40,7.11,mm,MAT-A105,300,WELDOLET,2,50,80,5.54,MSS SP-97,DOC-PMS-A1,BRANCH-2X6,4,ACTIVE
PC-A1-WELDOLET-2X8,A1,WELDOLET,8,200,40,8.18,mm,MAT-A105,300,WELDOLET,2,50,80,5.54,MSS SP-97,DOC-PMS-A1,BRANCH-2X8,4,ACTIVE
PC-A1-WELDOLET-2X14,A1,WELDOLET,14,350,STD,9.53,mm,MAT-A105,300,WELDOLET,2,50,80,5.54,MSS SP-97,DOC-PMS-A1,BRANCH-2X14,4,ACTIVE
PC-A1-TEE-6X6,A1,TEE,6,150,40,7.11,mm,MAT-A106-B,300,WELDED_TEE,6,150,40,7.11,ASME B16.9,DOC-PMS-A1,TEE-6X6,4,ACTIVE
PC-A1-TEE-8X6,A1,TEE,8,200,40,8.18,mm,MAT-A106-B,300,WELDED_TEE,6,150,40,7.11,ASME B16.9,DOC-PMS-A1,TEE-8X6,4,ACTIVE
PC-A1-TEE-14X8,A1,TEE,14,350,STD,9.53,mm,MAT-A106-B,300,WELDED_TEE,8,200,40,8.18,ASME B16.9,DOC-PMS-A1,TEE-14X8,4,ACTIVE
PC-B1-PIPE-1,B1,PIPE,1,25,10S,2.77,mm,MAT-A312-TP316L,150,,,,,,ASME B36.19M,DOC-PMS-B1,PIPE-1,3,ACTIVE
PC-B1-PIPE-2,B1,PIPE,2,50,10S,2.77,mm,MAT-A312-TP316L,150,,,,,,ASME B36.19M,DOC-PMS-B1,PIPE-2,3,ACTIVE
PC-B1-PIPE-4,B1,PIPE,4,100,10S,3.05,mm,MAT-A312-TP316L,150,,,,,,ASME B36.19M,DOC-PMS-B1,PIPE-4,3,ACTIVE
