method_id,edition,coefficient_family,coefficient_id,load_component,stress_component,stress_class,target_location,surface,parameter_1_name,parameter_1_value,parameter_2_name,parameter_2_value,parameter_3_name,parameter_3_value,coefficient_value,published_precision,source_page,source_section,source_equation,source_table,source_figure,source_note,extraction_method,extraction_confidence,review_status
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Memb,P,sigma_x,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,51,Curve Fit Table for SP-1,Eq. Y,SP-1,Fig SP-1,Curve fit coefficients a-j for NxT/P from radial load,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Ny_Memb,P,sigma_y,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,51,Curve Fit Table for SP-1,Eq. Y,SP-1,Fig SP-1,Errata: last column incorrectly shows My should show Ny,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Bend,P,sigma_x,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,51,Curve Fit Table for SP-1,Eq. Y,SP-1,Fig SP-1,Curve fit coefficients a-j for Mx/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_My_Bend,P,sigma_y,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,51,Curve Fit Table for SP-1,Eq. Y,SP-1,Fig SP-1,Curve fit coefficients a-j for My/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Max,P,sigma_x,membrane,MAX_OFF_JUNCTURE,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,51,Curve Fit Table for SP-1,Eq. Y,SP-1,Fig SP-1,Curve fit coefficients a-j for Nx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Max,P,sigma_x,bending,MAX_OFF_JUNCTURE,BOTH,gamma,5,rho,0.25,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,51,Curve Fit Table for SP-1,Eq. Y,SP-1,Fig SP-1,Curve fit coefficients a-j for Mx(max),DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Nx_Memb,P,sigma_x,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,52,Curve Fit Table for SP-2,Eq. Y,SP-2,Fig SP-2,Curve fit coefficients a-j for NxT/P from radial load,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Ny_Memb,P,sigma_y,membrane,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,52,Curve Fit Table for SP-2,Eq. Y,SP-2,Fig SP-2,Curve fit coefficients a-j for NyT/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_Mx_Bend,P,sigma_x,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,52,Curve Fit Table for SP-2,Eq. Y,SP-2,Fig SP-2,Curve fit coefficients a-j for Mx/P,DIRECT_TABLE,HIGH,EXTRACTED
WRC537,1st ed. (Dec 2010) / reprint 2013,SP,SP_RADIAL_My_Bend,P,sigma_y,bending,AU/AL/BU/BL/CU/CL/DU/DL,BOTH,gamma,5,rho,1.0,U,UNRESOLVED,UNRESOLVED,UNRESOLVED,52,Curve Fit Table for SP-2,Eq. Y,SP-2,Fig SP-2,Curve fit coefficients a-j for My/P,DIRECT_TABLE,HIGH,EXTRACTED
