MaterialId,Specification,Grade,MaterialFamily,BaseMaterialType,IsDuplex,IsStainless,IsCarbonSteel,SourceDocumentId,SourceRecord,StandardEdition,Status
MAT-A106-B,ASTM A106,B,CARBON_STEEL,CS,NO,NO,YES,DOC-ASTM-A106,GR-B,2024,ACTIVE
MAT-A105,ASTM A105,N/A,CARBON_STEEL,CS,NO,NO,YES,DOC-ASTM-A105,STD,2024,ACTIVE
MAT-A333-6,ASTM A333,6,LT_CARBON_STEEL,LTCS,NO,NO,YES,DOC-ASTM-A106,GR-6,2024,ACTIVE
MAT-A350-LF2,ASTM A350,LF2,LT_CARBON_STEEL,LTCS,NO,NO,YES,DOC-ASTM-A105,LF2,2024,ACTIVE
MAT-A312-TP316L,ASTM A312,TP316L,AUSTENITIC_STAINLESS_STEEL,SS,NO,YES,NO,DOC-ASTM-A312,TP316L,2024,ACTIVE
MAT-A312-TP304L,ASTM A312,TP304L,AUSTENITIC_STAINLESS_STEEL,SS,NO,YES,NO,DOC-ASTM-A312,TP304L,2024,ACTIVE
MAT-A182-F316L,ASTM A182,F316L,AUSTENITIC_STAINLESS_STEEL,SS,NO,YES,NO,DOC-ASTM-A182,F316L,2024,ACTIVE
MAT-A182-F304L,ASTM A182,F304L,AUSTENITIC_STAINLESS_STEEL,SS,NO,YES,NO,DOC-ASTM-A182,F304L,2024,ACTIVE
MAT-A790-S31803,ASTM A790,UNS S31803,DUPLEX_STAINLESS_STEEL,DSS,YES,YES,NO,DOC-ASTM-A790,S31803,2024,ACTIVE
MAT-A790-S32205,ASTM A790,UNS S32205,DUPLEX_STAINLESS_STEEL,DSS,YES,YES,NO,DOC-ASTM-A790,S32205,2024,ACTIVE
MAT-A790-S32750,ASTM A790,UNS S32750,SUPER_DUPLEX_STAINLESS_STEEL,SDSS,YES,YES,NO,DOC-ASTM-A790,S32750,2024,ACTIVE
MAT-A790-S32760,ASTM A790,UNS S32760,SUPER_DUPLEX_STAINLESS_STEEL,SDSS,YES,YES,NO,DOC-ASTM-A790,S32760,2024,ACTIVE
MAT-A182-F51,ASTM A182,F51,DUPLEX_STAINLESS_STEEL,DSS,YES,YES,NO,DOC-ASTM-A182,F51,2024,ACTIVE
MAT-A182-F53,ASTM A182,F53,SUPER_DUPLEX_STAINLESS_STEEL,SDSS,YES,YES,NO,DOC-ASTM-A182,F53,2024,ACTIVE
MAT-A182-F55,ASTM A182,F55,SUPER_DUPLEX_STAINLESS_STEEL,SDSS,YES,YES,NO,DOC-ASTM-A182,F55,2024,ACTIVE
MAT-B444-N06625,ASTM B444,UNS N06625,NICKEL_ALLOY,INCONEL_625,NO,NO,NO,DOC-EI-AVIFF-2008,IN625,2024,ACTIVE
MAT-B861-GR2,ASTM B861,Grade 2,TITANIUM,TITANIUM_GR2,NO,NO,NO,DOC-EI-AVIFF-2008,TI-GR2,2024,ACTIVE
