SourceDeviceTypeId,ComponentFamily,ComponentSubtype,ModelType,IsAivSourceCandidate,AivSourceDeviceType,RequiresPressureDrop,RequiresMassFlow,RequiresTemperature,RequiresMolecularWeight,SupportsLowNoiseTrim,Description,SourceDocumentId,Revision,Status
SRC-PSV,VALVE,PSV,RELIEF_VALVE,YES,RELIEF_VALVE,YES,YES,YES,YES,NO,Pressure safety relief valve,DOC-AIV-SOURCE-MAP,1,ACTIVE
SRC-BDV,VALVE,BDV,BLOWDOWN_VALVE,YES,RELIEF_VALVE,YES,YES,YES,YES,NO,Rapid emergency blowdown / depressuring valve,DOC-AIV-SOURCE-MAP,1,ACTIVE
SRC-PCV,VALVE,PCV,CONTROL_VALVE,YES,CONTROL_VALVE,YES,YES,YES,YES,YES,Pressure control valve (gas service),DOC-AIV-SOURCE-MAP,1,ACTIVE
SRC-FCV,VALVE,FCV,CONTROL_VALVE,YES,CONTROL_VALVE,YES,YES,YES,YES,YES,Flow control valve (gas/steam service),DOC-AIV-SOURCE-MAP,1,ACTIVE
SRC-JT-VALVE,VALVE,JOULE_THOMSON,CONTROL_VALVE,YES,CONTROL_VALVE,YES,YES,YES,YES,YES,High pressure drop Joule-Thomson expansion valve,DOC-AIV-SOURCE-MAP,1,ACTIVE
SRC-RO-SINGLE,ORIFICE,RESTRICTION_ORIFICE,ORIFICE,YES,RESTRICTION_ORIFICE,YES,YES,YES,YES,NO,Single-hole restriction orifice plate,DOC-AIV-SOURCE-MAP,1,ACTIVE
SRC-RO-MULTI,ORIFICE,MULTI_HOLE_ORIFICE,ORIFICE,YES,RESTRICTION_ORIFICE,YES,YES,YES,YES,YES,Multi-hole low noise restriction orifice plate,DOC-AIV-SOURCE-MAP,1,ACTIVE
SRC-BRANCH-PR,BRANCH,PRESSURE_REDUCING_BRANCH,BRANCH,YES,PRESSURE_REDUCING_BRANCH_CONNECTION,YES,YES,YES,YES,NO,Pressure reducing branch line discharging to low pressure header,DOC-AIV-SOURCE-MAP,1,ACTIVE
SRC-ESDV,VALVE,ESDV,SHUTDOWN_VALVE,NO,NONE,NO,NO,NO,NO,NO,"Emergency shutdown valve (closure transient, not AIV acoustic source)",DOC-AIV-SOURCE-MAP,1,ACTIVE
SRC-CHECK-VALVE,VALVE,NON_RETURN_VALVE,CHECK_VALVE,NO,NONE,NO,NO,NO,NO,NO,Check non-return valve,DOC-AIV-SOURCE-MAP,1,ACTIVE
SRC-MANUAL-VALVE,VALVE,ISOLATION_VALVE,GATE_VALVE,NO,NONE,NO,NO,NO,NO,NO,Manual isolation gate/globe/ball valve,DOC-AIV-SOURCE-MAP,1,ACTIVE
