pwl_db,weldolet_flm2_calculated,authority_state,governing_formula
155,0.200001,VERIFIED_FORMULA_CALCULATED_SAMPLE,FLM2 = 0.29 + 0.09*tanh((PWL-172)/2.9)
160,0.200046,VERIFIED_FORMULA_CALCULATED_SAMPLE,FLM2 = 0.29 + 0.09*tanh((PWL-172)/2.9)
164.4,0.200948,D2_3_PUBLISHED_ANCHOR_APPROX_0_2009,FLM2 = 0.29 + 0.09*tanh((PWL-172)/2.9)
165,0.201430,VERIFIED_FORMULA_CALCULATED_SAMPLE,FLM2 = 0.29 + 0.09*tanh((PWL-172)/2.9)
168,0.210728,VERIFIED_FORMULA_CALCULATED_SAMPLE,FLM2 = 0.29 + 0.09*tanh((PWL-172)/2.9)
170,0.236202,VERIFIED_FORMULA_CALCULATED_SAMPLE,FLM2 = 0.29 + 0.09*tanh((PWL-172)/2.9)
172,0.290000,VERIFIED_FORMULA_CALCULATED_SAMPLE,FLM2 = 0.29 + 0.09*tanh((PWL-172)/2.9)
174,0.343798,VERIFIED_FORMULA_CALCULATED_SAMPLE,FLM2 = 0.29 + 0.09*tanh((PWL-172)/2.9)
176,0.369272,VERIFIED_FORMULA_CALCULATED_SAMPLE,FLM2 = 0.29 + 0.09*tanh((PWL-172)/2.9)
180,0.379280,VERIFIED_FORMULA_CALCULATED_SAMPLE,FLM2 = 0.29 + 0.09*tanh((PWL-172)/2.9)
185,0.379977,VERIFIED_FORMULA_CALCULATED_SAMPLE,FLM2 = 0.29 + 0.09*tanh((PWL-172)/2.9)
