pwl_db,duplex_flm3,carbon_steel_flm3,austenitic_ss_flm3,super_duplex_flm3,governing_formula
155,0.176,1.000,1.000,0.176,FLM3 = 0.263 + 0.087*tanh((PWL-172)/2.9)
160,0.176,1.000,1.000,0.176,FLM3 = 0.263 + 0.087*tanh((PWL-172)/2.9)
165,0.177,1.000,1.000,0.177,FLM3 = 0.263 + 0.087*tanh((PWL-172)/2.9)
168,0.187,1.000,1.000,0.187,FLM3 = 0.263 + 0.087*tanh((PWL-172)/2.9)
170,0.214,1.000,1.000,0.214,FLM3 = 0.263 + 0.087*tanh((PWL-172)/2.9)
172,0.263,1.000,1.000,0.263,FLM3 = 0.263 + 0.087*tanh((PWL-172)/2.9)
174,0.312,1.000,1.000,0.312,FLM3 = 0.263 + 0.087*tanh((PWL-172)/2.9)
176,0.339,1.000,1.000,0.339,FLM3 = 0.263 + 0.087*tanh((PWL-172)/2.9)
180,0.350,1.000,1.000,0.350,FLM3 = 0.263 + 0.087*tanh((PWL-172)/2.9)
185,0.350,1.000,1.000,0.350,FLM3 = 0.263 + 0.087*tanh((PWL-172)/2.9)
