component_id,component_type,standard,standard_edition,run_nps,branch_nps,class_or_schedule,geometry_key,material_family,source_id,status
COMP-PIPE-NPS1-XXS,STRAIGHT_PIPE,ASME B36.10M,2022,1.0,1.0,SCH_XXS,GEO-PIPE-NPS1-XXS,CARBON_STEEL,SRC-B3610M-2022,ACTIVE
COMP-PIPE-NPS2-SCH160,STRAIGHT_PIPE,ASME B36.10M,2022,2.0,2.0,SCH_160,GEO-PIPE-NPS2-SCH160,CARBON_STEEL,SRC-B3610M-2022,ACTIVE
COMP-PIPE-NPS2-XXS,STRAIGHT_PIPE,ASME B36.10M,2022,2.0,2.0,SCH_XXS,GEO-PIPE-NPS2-XXS,CARBON_STEEL,SRC-B3610M-2022,ACTIVE
COMP-PIPE-NPS3-SCH160,STRAIGHT_PIPE,ASME B36.10M,2022,3.0,3.0,SCH_160,GEO-PIPE-NPS3-SCH160,CARBON_STEEL,SRC-B3610M-2022,ACTIVE
COMP-PIPE-NPS4-SCH160,STRAIGHT_PIPE,ASME B36.10M,2022,4.0,4.0,SCH_160,GEO-PIPE-NPS4-SCH160,CARBON_STEEL,SRC-B3610M-2022,ACTIVE
COMP-PIPE-NPS4-XXS,STRAIGHT_PIPE,ASME B36.10M,2022,4.0,4.0,SCH_XXS,GEO-PIPE-NPS4-XXS,CARBON_STEEL,SRC-B3610M-2022,ACTIVE
COMP-PIPE-NPS6-HEAVY,STRAIGHT_PIPE,ASME B36.10M,2022,6.0,6.0,CUSTOM_22.23,GEO-PIPE-NPS6-HEAVY,CARBON_STEEL,SRC-B3610M-2022,ACTIVE
COMP-ELB-90-NPS2-XXS,ELBOW_90_LR,ASME B16.9,2020,2.0,2.0,SCH_XXS,GEO-ELB90-NPS2-XXS,CARBON_STEEL,SRC-B31J-2020,ACTIVE
COMP-ELB-90-NPS4-SCH160,ELBOW_90_LR,ASME B16.9,2020,4.0,4.0,SCH_160,GEO-ELB90-NPS4-SCH160,CARBON_STEEL,SRC-B31J-2020,ACTIVE
COMP-TEE-NPS4-SCH160,TEE_STRAIGHT,ASME B16.9,2020,4.0,4.0,SCH_160,GEO-TEE-NPS4-SCH160,CARBON_STEEL,SRC-B31J-2020,ACTIVE
COMP-RED-NPS4X2-SCH160,REDUCER_CONCENTRIC,ASME B16.9,2020,4.0,2.0,SCH_160,GEO-RED-NPS4X2-SCH160,CARBON_STEEL,SRC-B31J-2020,ACTIVE
COMP-FLG-WN-2500-NPS4,FLANGE_WELD_NECK,ASME B16.5,2020,4.0,4.0,CLASS_2500,GEO-FLG-WN-2500-NPS4,CARBON_STEEL,SRC-B313-2024,ACTIVE
COMP-VALVE-2500-NPS4,VALVE_GATE,API 6D,2021,4.0,4.0,CLASS_2500,GEO-VALVE-2500-NPS4,CARBON_STEEL,SRC-B313-2024,ACTIVE
COMP-OLET-NPS4X2-XXS,INTEGRAL_OUTLET,MSS SP-97,2019,4.0,2.0,SCH_XXS,GEO-OLET-NPS4X2-XXS,CARBON_STEEL,SRC-B31J-2020,ACTIVE
