spectrum_id,cycle_id,from_state_id,to_state_id,category,cycles_per_year,total_cycles,provenance_id,approved_by,status
SPEC-HP-BENCH-01,TR-001,OP-01,OP-02,SHUTDOWN,200.0,5000.0,PROV-TR-001,CHIEF_ENGR,APPROVED
SPEC-HP-BENCH-01,TR-002,OP-02,OP-01,STARTUP,200.0,5000.0,PROV-TR-002,CHIEF_ENGR,APPROVED
SPEC-HP-BENCH-01,TR-003,OP-04,OP-03,PROCESS_CYCLE,500.0,10000.0,PROV-TR-003,CHIEF_ENGR,APPROVED
SPEC-HP-BENCH-01,TR-004,OP-06,OP-05,TRIP,50.0,1250.0,PROV-TR-004,CHIEF_ENGR,APPROVED
SPEC-HP-BENCH-01,TR-005,OP-07,OP-07,PROCESS_CYCLE,1000.0,25000.0,PROV-TR-005,CHIEF_ENGR,APPROVED
SPEC-HP-BASE-01,TR-BASE-01,ST-01,ST-03,SHUTDOWN,12.0,300.0,PROV-TR-B01,CHIEF_ENGR,APPROVED
SPEC-HP-BASE-01,TR-BASE-02,ST-03,ST-01,STARTUP,12.0,300.0,PROV-TR-B02,CHIEF_ENGR,APPROVED
SPEC-HP-BASE-01,TR-BASE-03,ST-01,ST-02,PROCESS_CYCLE,100.0,2500.0,PROV-TR-B03,CHIEF_ENGR,APPROVED
SPEC-HP-BASE-01,TR-BASE-04,ST-01,ST-04,TRIP,5.0,125.0,PROV-TR-B04,CHIEF_ENGR,APPROVED
SPEC-HP-CYCLIC-02,TR-CYC-01,CY-01,CY-02,PROCESS_CYCLE,1000.0,20000.0,PROV-TR-C01,CHIEF_ENGR,APPROVED
SPEC-HP-CYCLIC-02,TR-CYC-02,CY-02,CY-01,PROCESS_CYCLE,1000.0,20000.0,PROV-TR-C02,CHIEF_ENGR,APPROVED
