material_id,method_revision,temperature_c,allowable_stress_mpa,yield_strength_mpa,tensile_strength_mpa,elastic_modulus_mpa,poisson_ratio,alpha_per_c,density_kg_m3,source_id,source_locator,interpolation_rule,qualification_state
MAT-CS-A106-B,1.0.0,-29.0,138.0,241.0,414.0,206000.0,0.30,1.17e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 15,LINEAR,APPROVED
MAT-CS-A106-B,1.0.0,40.0,138.0,241.0,414.0,203000.0,0.30,1.20e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 15,LINEAR,APPROVED
MAT-CS-A106-B,1.0.0,100.0,138.0,228.0,414.0,199000.0,0.30,1.25e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 15,LINEAR,APPROVED
MAT-CS-A106-B,1.0.0,150.0,138.0,218.0,414.0,195000.0,0.30,1.28e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 15,LINEAR,APPROVED
MAT-CS-A106-B,1.0.0,200.0,138.0,207.0,414.0,191000.0,0.30,1.30e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 15,LINEAR,APPROVED
MAT-CS-A106-B,1.0.0,250.0,133.0,195.0,414.0,187000.0,0.30,1.33e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 15,LINEAR,APPROVED
MAT-CS-A106-B,1.0.0,300.0,120.0,181.0,414.0,182000.0,0.30,1.36e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 15,LINEAR,APPROVED
MAT-CS-A106-B,1.0.0,350.0,108.0,170.0,390.0,177000.0,0.30,1.39e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 15,LINEAR,APPROVED
MAT-CS-A106-B,1.0.0,375.0,98.0,165.0,370.0,174000.0,0.30,1.41e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 15,LINEAR,APPROVED
MAT-LTCS-A333-6,1.0.0,-46.0,138.0,241.0,414.0,208000.0,0.30,1.14e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 22,LINEAR,APPROVED
MAT-LTCS-A333-6,1.0.0,40.0,138.0,241.0,414.0,203000.0,0.30,1.20e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 22,LINEAR,APPROVED
MAT-LTCS-A333-6,1.0.0,100.0,138.0,228.0,414.0,199000.0,0.30,1.25e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 22,LINEAR,APPROVED
MAT-LTCS-A333-6,1.0.0,200.0,138.0,207.0,414.0,191000.0,0.30,1.30e-05,7850.0,SRC-SEC2D-2025,Table 2A Line 22,LINEAR,APPROVED
MAT-SS-A312-316,1.0.0,-29.0,138.0,207.0,517.0,195000.0,0.30,1.53e-05,8000.0,SRC-SEC2D-2025,Table 2A Line 38,LINEAR,APPROVED
MAT-SS-A312-316,1.0.0,40.0,138.0,207.0,517.0,193000.0,0.30,1.57e-05,8000.0,SRC-SEC2D-2025,Table 2A Line 38,LINEAR,APPROVED
MAT-SS-A312-316,1.0.0,100.0,133.0,178.0,515.0,188000.0,0.30,1.62e-05,8000.0,SRC-SEC2D-2025,Table 2A Line 38,LINEAR,APPROVED
MAT-SS-A312-316,1.0.0,150.0,123.0,161.0,500.0,184000.0,0.30,1.66e-05,8000.0,SRC-SEC2D-2025,Table 2A Line 38,LINEAR,APPROVED
MAT-SS-A312-316,1.0.0,200.0,116.0,148.0,490.0,180000.0,0.30,1.70e-05,8000.0,SRC-SEC2D-2025,Table 2A Line 38,LINEAR,APPROVED
MAT-SS-A312-316,1.0.0,300.0,105.0,130.0,480.0,172000.0,0.30,1.77e-05,8000.0,SRC-SEC2D-2025,Table 2A Line 38,LINEAR,APPROVED
MAT-DUP-A790-2205,1.0.0,40.0,240.0,450.0,620.0,200000.0,0.30,1.30e-05,7800.0,SRC-SEC2D-2025,Table 2A Line 50,LINEAR,APPROVED
MAT-DUP-A790-2205,1.0.0,100.0,230.0,400.0,600.0,194000.0,0.30,1.35e-05,7800.0,SRC-SEC2D-2025,Table 2A Line 50,LINEAR,APPROVED
MAT-DUP-A790-2205,1.0.0,200.0,210.0,360.0,580.0,186000.0,0.30,1.40e-05,7800.0,SRC-SEC2D-2025,Table 2A Line 50,LINEAR,APPROVED
MAT-INC-B444-625,1.0.0,40.0,187.0,414.0,827.0,208000.0,0.30,1.28e-05,8440.0,SRC-SEC2D-2025,Table 2A Line 62,LINEAR,APPROVED
MAT-INC-B444-625,1.0.0,200.0,175.0,360.0,800.0,198000.0,0.30,1.33e-05,8440.0,SRC-SEC2D-2025,Table 2A Line 62,LINEAR,APPROVED
MAT-INC-B444-625,1.0.0,350.0,165.0,335.0,780.0,190000.0,0.30,1.38e-05,8440.0,SRC-SEC2D-2025,Table 2A Line 62,LINEAR,APPROVED
TEST-MAT,1.0.0,100.0,150.0,250.0,450.0,200000.0,0.30,1.20e-05,7850.0,SRC-TEST-SYNTH,Benchmark Class C Row 1,LINEAR,APPROVED
TEST-MAT,1.0.0,200.0,140.0,230.0,420.0,190000.0,0.30,1.30e-05,7850.0,SRC-TEST-SYNTH,Benchmark Class C Row 2,LINEAR,APPROVED
