spectrum_id,state_id,state_name,pressure_mpa,material_temperature_c,structural_temperature_c,duration_hr,provenance_id,status
SPEC-HP-BENCH-01,OP-01,Normal Operation,20.00,200.0,200.0,8000.0,PROV-OP-01,ACTIVE
SPEC-HP-BENCH-01,OP-02,Shutdown Depressurized,2.00,40.0,40.0,200.0,PROV-OP-02,ACTIVE
SPEC-HP-BENCH-01,OP-03,High Pressure Operating,30.00,40.0,40.0,7500.0,PROV-OP-03,ACTIVE
SPEC-HP-BENCH-01,OP-04,Low Pressure Turn-Down,5.00,40.0,40.0,500.0,PROV-OP-04,ACTIVE
SPEC-HP-BENCH-01,OP-05,Peak Design Pressure,35.00,150.0,150.0,500.0,PROV-OP-05,ACTIVE
SPEC-HP-BENCH-01,OP-06,Cold Ambient Standby,0.00,20.0,20.0,100.0,PROV-OP-06,ACTIVE
SPEC-HP-BENCH-01,OP-07,Steady High Temp State,15.00,300.0,300.0,8000.0,PROV-OP-07,ACTIVE
SPEC-HP-BASE-01,ST-01,Full Load Production,20.00,180.0,180.0,8000.0,PROV-BASE-01,ACTIVE
SPEC-HP-BASE-01,ST-02,Warm Standby,5.00,80.0,80.0,300.0,PROV-BASE-02,ACTIVE
SPEC-HP-BASE-01,ST-03,Cold Depressurized,0.50,25.0,25.0,100.0,PROV-BASE-03,ACTIVE
SPEC-HP-BASE-01,ST-04,ESD Overpressure Peak,24.00,195.0,195.0,10.0,PROV-BASE-04,ACTIVE
SPEC-HP-CYCLIC-02,CY-01,Cyclic High State,25.00,120.0,120.0,4000.0,PROV-CYC-01,ACTIVE
SPEC-HP-CYCLIC-02,CY-02,Cyclic Low State,2.50,50.0,50.0,4000.0,PROV-CYC-02,ACTIVE
