dimension_id,nps,od_mm,schedule,nominal_wall_mm,bore_mm,dimension_standard,dimension_edition,source_id,status
DIM-NPS0.5-SCH80,0.5,21.30,SCH_80,3.73,13.84,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS0.5-SCH160,0.5,21.30,SCH_160,4.78,11.74,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS0.5-SCHXXS,0.5,21.30,SCH_XXS,7.47,6.36,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS0.75-SCH80,0.75,26.70,SCH_80,3.91,18.88,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS0.75-SCH160,0.75,26.70,SCH_160,5.56,15.58,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS0.75-SCHXXS,0.75,26.70,SCH_XXS,7.82,11.06,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS1-SCH80,1.0,33.40,SCH_80,4.55,24.30,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS1-SCH160,1.0,33.40,SCH_160,6.35,20.70,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS1-SCHXXS,1.0,33.40,SCH_XXS,9.09,15.22,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS1.5-SCH80,1.5,48.30,SCH_80,5.08,38.14,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS1.5-SCH160,1.5,48.30,SCH_160,7.14,34.02,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS1.5-SCHXXS,1.5,48.30,SCH_XXS,10.15,28.00,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS2-SCH80,2.0,60.30,SCH_80,5.54,49.22,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS2-SCH160,2.0,60.30,SCH_160,8.74,42.82,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS2-SCHXXS,2.0,60.30,SCH_XXS,11.07,38.16,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS3-SCH80,3.0,88.90,SCH_80,7.62,73.66,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS3-SCH140-CUSTOM,3.0,88.90,CUSTOM_8.56,8.56,71.78,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS3-SCH160,3.0,88.90,SCH_160,11.13,66.64,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS3-SCHXXS,3.0,88.90,SCH_XXS,15.24,58.42,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS4-SCH80,4.0,114.30,SCH_80,8.56,97.18,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS4-SCH120,4.0,114.30,SCH_120,11.13,92.04,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS4-SCH160,4.0,114.30,SCH_160,13.49,87.32,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS4-SCHXXS,4.0,114.30,SCH_XXS,17.12,80.06,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS6-SCH80,6.0,168.30,SCH_80,10.97,146.36,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS6-SCH120,6.0,168.30,SCH_120,14.27,139.76,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS6-SCH160,6.0,168.30,SCH_160,18.26,131.78,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS6-HEAVY-22.23,6.0,168.30,CUSTOM_22.23,22.23,123.84,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS6-SCHXXS,6.0,168.30,SCH_XXS,21.95,124.40,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS8-SCH80,8.0,219.10,SCH_80,12.70,193.70,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS8-SCH120,8.0,219.10,SCH_120,18.26,182.58,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS8-SCH160,8.0,219.10,SCH_160,23.01,173.08,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS8-SCHXXS,8.0,219.10,SCH_XXS,22.23,174.64,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS10-SCH120,10.0,273.00,SCH_120,21.44,230.12,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS10-SCH160,10.0,273.00,SCH_160,28.58,215.84,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS12-SCH120,12.0,323.80,SCH_120,25.40,273.00,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
DIM-NPS12-SCH160,12.0,323.80,SCH_160,33.32,257.16,ASME B36.10M,2022,SRC-B3610M-2022,ACTIVE
