product_id,dimension_id,material_id,product_spec,manufacturing_process,design_d_max_mm,nominal_wall_mm,minus_tolerance_pct,tolerance_basis,source_id,source_locator,status
PROD-CS-NPS0.5-SCH160-12.5,DIM-NPS0.5-SCH160,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,21.30,4.78,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS0.5-SCHXXS-12.5,DIM-NPS0.5-SCHXXS,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,21.30,7.47,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS0.75-SCH160-12.5,DIM-NPS0.75-SCH160,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,26.70,5.56,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS0.75-SCHXXS-12.5,DIM-NPS0.75-SCHXXS,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,26.70,7.82,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS1-SCH160-12.5,DIM-NPS1-SCH160,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,33.40,6.35,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS1-SCHXXS-12.5,DIM-NPS1-SCHXXS,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,33.40,9.09,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS1.5-SCH160-12.5,DIM-NPS1.5-SCH160,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,48.30,7.14,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS1.5-SCHXXS-12.5,DIM-NPS1.5-SCHXXS,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,48.30,10.15,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS2-SCH160-10.0,DIM-NPS2-SCH160,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_COLD_DRAWN,60.30,8.74,10.00,ASTM_A530,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS2-SCHXXS-12.5,DIM-NPS2-SCHXXS,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,60.30,11.07,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS3-CUSTOM-0.0,DIM-NPS3-SCH140-CUSTOM,MAT-CS-A106-B,ASTM A106 Gr B,MACHINED_PRECISION,88.90,8.56,0.00,MACHINED_CUSTOM,SRC-TEST-SYNTH,HP-AN-004 Spec,ACTIVE
PROD-CS-NPS3-SCH160-12.5,DIM-NPS3-SCH160,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,88.90,11.13,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS3-SCHXXS-12.5,DIM-NPS3-SCHXXS,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,88.90,15.24,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS4-SCH160-12.5,DIM-NPS4-SCH160,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,114.30,13.49,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS4-SCHXXS-12.5,DIM-NPS4-SCHXXS,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,114.30,17.12,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS6-HEAVY-12.5,DIM-NPS6-HEAVY-22.23,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HEAVY_WALL,168.30,22.23,12.50,ASME_B3610M,SRC-TEST-SYNTH,HP-AN-003 Spec,ACTIVE
PROD-CS-NPS6-SCH160-12.5,DIM-NPS6-SCH160,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,168.30,18.26,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS6-SCHXXS-12.5,DIM-NPS6-SCHXXS,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,168.30,21.95,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS8-SCH160-12.5,DIM-NPS8-SCH160,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,219.10,23.01,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-CS-NPS8-SCHXXS-12.5,DIM-NPS8-SCHXXS,MAT-CS-A106-B,ASTM A106 Gr B,SEAMLESS_HOT_FINISHED,219.10,22.23,12.50,ASME_B3610M,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-SS-NPS2-SCH160-10.0,DIM-NPS2-SCH160,MAT-SS-A312-316,ASTM A312 TP316,COLD_FINISHED_SEAMLESS,60.30,8.74,10.00,ASTM_A312,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-SS-NPS4-SCH160-12.5,DIM-NPS4-SCH160,MAT-SS-A312-316,ASTM A312 TP316,HOT_FINISHED_SEAMLESS,114.30,13.49,12.50,ASTM_A312,SRC-B3610M-2022,Table 2-1,ACTIVE
PROD-INC-NPS2-SCHXXS-10.0,DIM-NPS2-SCHXXS,MAT-INC-B444-625,ASTM B444 Gr 1,COLD_FINISHED_SEAMLESS,60.30,11.07,10.00,ASTM_B444,SRC-B3610M-2022,Table 2-1,ACTIVE
