geometry_key,method_id,b31j_edition,ii,io,flexibility_in_plane,flexibility_out_plane,stress_index_1,stress_index_2,stress_index_3,applicability,source_id,qualification_state
GEO-PIPE-NPS1-XXS,B313-CH9-COMP-2024-R1,2020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,STRAIGHT_PIPE,SRC-B31J-2020,APPROVED
GEO-PIPE-NPS2-SCH160,B313-CH9-COMP-2024-R1,2020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,STRAIGHT_PIPE,SRC-B31J-2020,APPROVED
GEO-PIPE-NPS2-XXS,B313-CH9-COMP-2024-R1,2020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,STRAIGHT_PIPE,SRC-B31J-2020,APPROVED
GEO-PIPE-NPS3-SCH160,B313-CH9-COMP-2024-R1,2020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,STRAIGHT_PIPE,SRC-B31J-2020,APPROVED
GEO-PIPE-NPS4-SCH160,B313-CH9-COMP-2024-R1,2020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,STRAIGHT_PIPE,SRC-B31J-2020,APPROVED
GEO-PIPE-NPS4-XXS,B313-CH9-COMP-2024-R1,2020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,STRAIGHT_PIPE,SRC-B31J-2020,APPROVED
GEO-PIPE-NPS6-HEAVY,B313-CH9-COMP-2024-R1,2020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,STRAIGHT_PIPE,SRC-B31J-2020,APPROVED
GEO-ELB90-NPS2-XXS,B313-CH9-COMP-2024-R1,2020,1.42,1.18,2.15,2.15,1.75,1.50,1.00,BEND_ELBOW,SRC-B31J-2020,APPROVED
GEO-ELB90-NPS4-SCH160,B313-CH9-COMP-2024-R1,2020,1.55,1.26,2.48,2.48,1.90,1.60,1.00,BEND_ELBOW,SRC-B31J-2020,APPROVED
GEO-TEE-NPS4-SCH160,B313-CH9-COMP-2024-R1,2020,2.10,1.85,1.00,1.00,2.80,2.20,1.00,FABRICATED_OR_EXTRUDED_TEE,SRC-B31J-2020,APPROVED
GEO-RED-NPS4X2-SCH160,B313-CH9-COMP-2024-R1,2020,1.30,1.15,1.00,1.00,1.45,1.25,1.00,CONCENTRIC_REDUCER,SRC-B31J-2020,APPROVED
GEO-FLG-WN-2500-NPS4,B313-CH9-COMP-2024-R1,2020,1.20,1.00,1.00,1.00,1.30,1.10,1.00,WELD_NECK_FLANGE,SRC-B31J-2020,APPROVED
GEO-VALVE-2500-NPS4,B313-CH9-COMP-2024-R1,2020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,VALVE_BODY_RIGID,SRC-B31J-2020,APPROVED
GEO-OLET-NPS4X2-XXS,B313-CH9-COMP-2024-R1,2020,1.85,1.60,1.00,1.00,2.40,1.95,1.00,INTEGRALLY_REINFORCED_BRANCH,SRC-B31J-2020,APPROVED
